address,sold_price,bathroom_ct,bedroom_ct,home_sqft,sold_date,image_url,lat,lng,home_type,year_built,heating_type,parking_info,lot_sqft,zipcode
"515 W Portland St, Phoenix, AZ 85003",617700.0,2.5,3.0,2422.0,11/20/2020,https://photos.zillowstatic.com/fp/3ae6d7488a3226bd02c640f7cc86ec68-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"52 W Lewis Ave, Phoenix, AZ 85003",585000.0,2.0,3.0,1666.0,11/16/2020,https://photos.zillowstatic.com/fp/0380d64fe384b3ae2f28b0ba1264a945-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"84 W Lewis Ave, Phoenix, AZ 85003",575000.0,2.0,2.0,2204.0,11/13/2020,https://photos.zillowstatic.com/fp/f561c7933373bad5c2685a4fc1504741-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"70 W Encanto Blvd, Phoenix, AZ 85003",789000.0,2.5,3.0,1930.0,11/13/2020,https://photos.zillowstatic.com/fp/53cd59145a8a5aded8fa4104468d8d45-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"387 N 2nd Ave UNIT 2I, Phoenix, AZ 85003",359000.0,2.5,2.0,1310.0,11/13/2020,https://photos.zillowstatic.com/fp/1857919a8e4d4c8e46c6456da169952c-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"10 W Palm Ln, Phoenix, AZ 85003",955000.0,4.5,3.0,5192.0,11/13/2020,https://photos.zillowstatic.com/p_e/IS7218afuo41p51000000000.jpg,33.450759999999995,-112.07836,,,,,,85003
"96 W Lewis Ave, Phoenix, AZ 85003",475000.0,2.0,2.0,1311.0,11/12/2020,,33.450759999999995,-112.07836,,,,,,85003
"48 W Holly St, Phoenix, AZ 85003",440000.0,1.0,2.0,1633.0,11/12/2020,,33.450759999999995,-112.07836,,,,,,85003
"200 W Portland St #815, Phoenix, AZ 85003",349000.0,1.0,1.0,818.0,11/12/2020,,33.450759999999995,-112.07836,,,,,,85003
"16 W Encanto Blvd UNIT 311, Phoenix, AZ 85003",225000.0,1.0,1.0,845.0,11/3/2020,,33.450759999999995,-112.07836,,,,,,85003
"29 W Wilshire Dr, Phoenix, AZ 85003",519215.0,2.0,3.0,1418.0,11/2/2020,,33.450759999999995,-112.07836,,,,,,85003
"114 W Adams St UNIT 701, Phoenix, AZ 85003",225000.0,1.0,1.0,837.0,11/1/2020,,33.450759999999995,-112.07836,,,,,,85003
"16 W Encanto Blvd UNIT 106, Phoenix, AZ 85003",322000.0,2.5,2.0,1687.0,10/30/2020,,33.450759999999995,-112.07836,,,,,,85003
"311 W Lynwood St, Phoenix, AZ 85003",750000.0,3.0,3.0,2331.0,10/30/2020,,33.450759999999995,-112.07836,,,,,,85003
"805 N 4th Ave UNIT 1006, Phoenix, AZ 85003",246000.0,1.0,1.0,720.0,10/29/2020,,33.450759999999995,-112.07836,,,,,,85003
"808 N 4th Ave #4, Phoenix, AZ 85003",636000.0,3.5,2.0,2132.0,10/26/2020,,33.450759999999995,-112.07836,,,,,,85003
"85 W Willetta St, Phoenix, AZ 85003",700000.0,0.0,1.0,3692.0,10/23/2020,,33.450759999999995,-112.07836,,,,,,85003
"620 N 4th Ave APT 10, Phoenix, AZ 85003",319000.0,1.5,2.0,1260.0,10/23/2020,,33.450759999999995,-112.07836,,,,,,85003
"312 W Cambridge Ave, Phoenix, AZ 85003",485000.0,2.0,3.0,1948.0,10/20/2020,,33.450759999999995,-112.07836,,,,,,85003
"808 N 4th Ave UNIT 15, Phoenix, AZ 85003",475000.0,3.0,2.0,1770.0,10/9/2020,,33.450759999999995,-112.07836,,,,,,85003
"42 W Cambridge Ave, Phoenix, AZ 85003",390000.0,2.5,3.0,1578.0,10/8/2020,,33.450759999999995,-112.07836,,,,,,85003
"45 W Lewis Ave, Phoenix, AZ 85003",629900.0,2.0,4.0,1412.0,10/8/2020,,33.450759999999995,-112.07836,,,,,,85003
"107 W Windsor Ave, Phoenix, AZ 85003",539000.0,1.75,3.0,2069.0,10/5/2020,,33.450759999999995,-112.07836,,,,,,85003
"318 W Windsor Ave, Phoenix, AZ 85003",570000.0,2.0,3.0,1413.0,10/2/2020,,33.450759999999995,-112.07836,,,,,,85003
"531 W Wilshire Dr, Phoenix, AZ 85003",625000.0,2.0,3.0,1264.0,10/2/2020,,33.450759999999995,-112.07836,,,,,,85003
"133 W Palm Ln, Phoenix, AZ 85003",535000.0,2.0,2.0,1242.0,10/2/2020,,33.450759999999995,-112.07836,,,,,,85003
"327 W Latham St, Phoenix, AZ 85003",320000.0,1.0,0.0,1480.0,9/30/2020,,33.450759999999995,-112.07836,,,,,,85003
"332 W Virginia Ave, Phoenix, AZ 85003",535000.0,2.0,3.0,1312.0,9/30/2020,,33.450759999999995,-112.07836,,,,,,85003
"101 W Granada Rd, Phoenix, AZ 85003",620500.0,2.0,3.0,2142.0,9/29/2020,,33.450759999999995,-112.07836,,,,,,85003
"115 W Granada Rd, Phoenix, AZ 85003",550000.0,2.0,2.0,1383.0,9/25/2020,,33.450759999999995,-112.07836,,,,,,85003
"61 W Virginia Ave, Phoenix, AZ 85003",454700.0,2.0,3.0,1375.0,9/25/2020,,33.450759999999995,-112.07836,,,,,,85003
"16 W Encanto Blvd UNIT 604, Phoenix, AZ 85003",335000.0,2.0,2.0,1428.0,9/22/2020,,33.450759999999995,-112.07836,,,,,,85003
"518 W Palm Ln, Phoenix, AZ 85003",624500.0,2.0,3.0,1817.0,9/22/2020,,33.450759999999995,-112.07836,,,,,,85003
"534 W Culver St, Phoenix, AZ 85003",460000.0,1.0,2.0,1119.0,9/21/2020,https://photos.zillowstatic.com/fp/338c0f1d38af5953173888f1e87afbe3-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"620 W Apache St, Phoenix, AZ 85003",310000.0,0.0,1.0,3216.0,9/21/2020,https://photos.zillowstatic.com/fp/d224c3067ba9a056628e98f71033152d-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"909 S 4th Ave, Phoenix, AZ 85003",68000.0,1.0,0.0,756.0,9/21/2020,,33.450759999999995,-112.07836,,,,,,85003
"1024 S 4th Ave, Phoenix, AZ 85003",70000.0,0.0,1.0,2024.0,9/21/2020,https://photos.zillowstatic.com/fp/7cc6d95d896fab0de93c2c32094441d6-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"614 W Apache St, Phoenix, AZ 85003",310000.0,1.0,2.0,3216.0,9/21/2020,https://photos.zillowstatic.com/fp/4058424e07bdca8680005ec168ce728f-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"114 W Adams St, Phoenix, AZ 85003",440000.0,2.0,2.0,2592.0,9/18/2020,https://photos.zillowstatic.com/fp/d4cc6ed11d475d05317b68a4cc32f95b-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"16 W Encanto Blvd UNIT 619, Phoenix, AZ 85003",307500.0,2.0,2.0,1428.0,9/18/2020,https://photos.zillowstatic.com/fp/0fe5d7f5e23fd46eb885aa9eee304e8a-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"200 W Portland St #622, Phoenix, AZ 85003",365000.0,1.0,1.0,891.0,9/15/2020,https://photos.zillowstatic.com/p_e/IS7anyba0wv5fv0000000000.jpg,33.450759999999995,-112.07836,,,,,,85003
"340 W Yavapai St, Phoenix, AZ 85003",79900.0,1.75,0.0,1648.0,9/4/2020,,33.450759999999995,-112.07836,,,,,,85003
"330 W Yavapai St, Phoenix, AZ 85003",79900.0,0.0,0.0,0.0,9/4/2020,,33.450759999999995,-112.07836,,,,,,85003
"529 W Virginia Ave, Phoenix, AZ 85003",431000.0,2.0,2.0,1338.0,9/3/2020,,33.450759999999995,-112.07836,,,,,,85003
"805 N 4th Ave UNIT 403, Phoenix, AZ 85003",147500.0,1.0,1.0,720.0,8/31/2020,,33.450759999999995,-112.07836,,,,,,85003
"1801 S 5th Ave, Phoenix, AZ 85003",285000.0,2.0,4.0,1785.0,8/31/2020,,33.450759999999995,-112.07836,,,,,,85003
"100 W Portland St UNIT 403, Phoenix, AZ 85003",325000.0,1.0,1.0,745.0,8/26/2020,,33.450759999999995,-112.07836,,,,,,85003
"114 W Adams St, Phoenix, AZ 85003",225000.0,1.0,1.0,876.0,8/25/2020,,33.450759999999995,-112.07836,,,,,,85003
"525 W Windsor Ave, Phoenix, AZ 85003",529550.0,2.0,3.0,2130.0,8/25/2020,,33.450759999999995,-112.07836,,,,,,85003
"819 S 3rd Ave, Phoenix, AZ 85003",420000.0,2.0,6.0,3267.0,8/21/2020,,33.450759999999995,-112.07836,,,,,,85003
"636 N 4th Ave, Phoenix, AZ 85003",155000.0,1.0,1.0,402.0,8/17/2020,,33.450759999999995,-112.07836,,,,,,85003
"808 N 4th Ave #10, Phoenix, AZ 85003",460000.0,2.5,2.0,1770.0,8/14/2020,,33.450759999999995,-112.07836,,,,,,85003
"200 W Portland St #819, Phoenix, AZ 85003",505000.0,2.0,2.0,1281.0,8/12/2020,,33.450759999999995,-112.07836,,,,,,85003
"1717 N 1st Ave #102, Phoenix, AZ 85003",435000.0,2.5,2.0,1800.0,8/11/2020,,33.450759999999995,-112.07836,,,,,,85003
"306 W Palm Ln, Phoenix, AZ 85003",675000.0,3.0,3.0,2828.0,8/4/2020,,33.450759999999995,-112.07836,,,,,,85003
"65 W Lewis Ave, Phoenix, AZ 85003",557500.0,2.0,3.0,1895.0,8/3/2020,,33.450759999999995,-112.07836,,,,,,85003
"16 W Encanto Blvd UNIT 419, Phoenix, AZ 85003",378000.0,2.0,2.0,1692.0,8/3/2020,,33.450759999999995,-112.07836,,,,,,85003
"16 W Encanto Blvd UNIT 506, Phoenix, AZ 85003",265000.0,2.0,2.0,1254.0,8/1/2020,,33.450759999999995,-112.07836,,,,,,85003
"2530 S 6th Ave, Phoenix, AZ 85003",210000.0,4.0,7.0,2003.0,7/31/2020,,33.450759999999995,-112.07836,,,,,,85003
"17 W Vernon Ave UNIT 619, Phoenix, AZ 85003",330000.0,2.0,2.0,1428.0,7/31/2020,,33.450759999999995,-112.07836,,,,,,85003
"114 W Adams St UNIT 501, Phoenix, AZ 85003",229000.0,1.0,1.0,837.0,7/31/2020,,33.450759999999995,-112.07836,,,,,,85003
"1018 S 4th Ave #15, Phoenix, AZ 85003",200000.0,2.0,0.0,1829.0,7/29/2020,,33.450759999999995,-112.07836,,,,,,85003
"17 W Vernon Ave UNIT 604, Phoenix, AZ 85003",330000.0,1.75,2.0,1428.0,7/28/2020,https://photos.zillowstatic.com/p_e/ISna23rlm2ujzh0000000000.jpg,33.450759999999995,-112.07836,,,,,,85003
"306 W Almeria Rd, Phoenix, AZ 85003",470000.0,2.0,3.0,1902.0,7/24/2020,https://photos.zillowstatic.com/fp/95566433ace866a6d48914e17d81717f-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"1018 S 4th Ave, Phoenix, AZ 85003",200000.0,2.0,3.0,1829.0,7/24/2020,https://photos.zillowstatic.com/p_e/ISj36en4yhvhi01000000000.jpg,33.450759999999995,-112.07836,,,,,,85003
"114 W Adams St UNIT 702, Phoenix, AZ 85003",198000.0,1.0,1.0,837.0,7/23/2020,https://photos.zillowstatic.com/fp/18f2c081282c5133d53a59777df2381c-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"114 W Adams St UNIT 202, Phoenix, AZ 85003",207500.0,1.0,1.0,1003.0,7/21/2020,https://photos.zillowstatic.com/fp/eafa25938357886b5096972fcf7acf12-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"501 W Mohave St, Phoenix, AZ 85003",65000.0,1.0,0.0,0.0,7/17/2020,,33.450759999999995,-112.07836,,,,,,85003
"815 S Montezuma St, Phoenix, AZ 85003",150000.0,1.0,4.0,1412.0,7/16/2020,,33.450759999999995,-112.07836,,,,,,85003
"525 W Portland St, Phoenix, AZ 85003",530000.0,1.0,2.0,2768.0,7/15/2020,,33.450759999999995,-112.07836,,,,,,85003
"200 W Portland St #719, Phoenix, AZ 85003",475000.0,2.0,2.0,1281.0,7/13/2020,,33.450759999999995,-112.07836,,,,,,85003
"16 W Encanto Blvd UNIT 403, Phoenix, AZ 85003",245000.0,2.67,0.0,1235.0,7/10/2020,,33.450759999999995,-112.07836,,,,,,85003
"514 W Lynwood St, Phoenix, AZ 85003",565000.0,1.75,3.0,2077.0,7/9/2020,,33.450759999999995,-112.07836,,,,,,85003
"527 W Wilshire Dr, Phoenix, AZ 85003",508000.0,2.0,3.0,1585.0,7/8/2020,,33.450759999999995,-112.07836,,,,,,85003
"114 W Adams St, Phoenix, AZ 85003",321000.0,2.0,2.0,1098.0,7/8/2020,,33.450759999999995,-112.07836,,,,,,85003
"546 W Virginia Ave, Phoenix, AZ 85003",401500.0,1.0,3.0,1791.0,7/7/2020,,33.450759999999995,-112.07836,,,,,,85003
"521 W Holly St, Phoenix, AZ 85003",620000.0,3.0,3.0,1520.0,7/2/2020,,33.450759999999995,-112.07836,,,,,,85003
"909 S 3rd Ave, Phoenix, AZ 85003",155000.0,3.0,0.0,0.0,7/1/2020,,33.450759999999995,-112.07836,,,,,,85003
"200 W Portland St UNIT 518, Phoenix, AZ 85003",355000.0,1.0,1.0,744.0,7/1/2020,,33.450759999999995,-112.07836,,,,,,85003
"65 W Virginia Ave, Phoenix, AZ 85003",495000.0,1.0,2.0,1544.0,6/29/2020,,33.450759999999995,-112.07836,,,,,,85003
"17 W Vernon Ave UNIT 109, Phoenix, AZ 85003",365000.0,3.0,2.0,1687.0,6/26/2020,,33.450759999999995,-112.07836,,,,,,85003
"16 W Encanto Blvd UNIT 622, Phoenix, AZ 85003",355000.0,2.0,2.0,1428.0,6/26/2020,,33.450759999999995,-112.07836,,,,,,85003
"636 N 4th Ave UNIT 1, Phoenix, AZ 85003",122000.0,1.0,1.0,369.0,6/24/2020,,33.450759999999995,-112.07836,,,,,,85003
"100 W Portland St UNIT 505, Phoenix, AZ 85003",310000.0,1.0,1.0,745.0,6/19/2020,,33.450759999999995,-112.07836,,,,,,85003
"541 W Windsor Ave, Phoenix, AZ 85003",430000.0,2.0,3.0,2043.0,6/18/2020,,33.450759999999995,-112.07836,,,,,,85003
"16 W Encanto Blvd UNIT 415, Phoenix, AZ 85003",252000.0,2.0,2.0,1280.0,6/11/2020,,33.450759999999995,-112.07836,,,,,,85003
"315 W Edgemont Ave, Phoenix, AZ 85003",492000.0,2.0,3.0,1868.0,6/8/2020,,33.450759999999995,-112.07836,,,,,,85003
"546 W Cambridge Ave, Phoenix, AZ 85003",447500.0,2.0,3.0,1707.0,6/8/2020,,33.450759999999995,-112.07836,,,,,,85003
"208 W Portland St UNIT 358, Phoenix, AZ 85003",385000.0,1.5,1.0,889.0,6/2/2020,,33.450759999999995,-112.07836,,,,,,85003
"208 W Portland St UNIT 358, Phoenix, AZ 85003",385000.0,1.5,1.0,889.0,6/2/2020,https://photos.zillowstatic.com/fp/f888fd0694f606082dd6253533f0ac45-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"200 W Portland St #721, Phoenix, AZ 85003",543000.0,2.0,2.0,1425.0,6/2/2020,https://photos.zillowstatic.com/p_e/ISfkkpx63iqg9c0000000000.jpg,33.450759999999995,-112.07836,,,,,,85003
"317 W Encanto Blvd, Phoenix, AZ 85003",475000.0,2.75,4.0,1599.0,6/1/2020,https://photos.zillowstatic.com/fp/77829c870892312929d14694f3d01cf1-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"58 W Wilshire Dr, Phoenix, AZ 85003",605000.0,2.0,4.0,2210.0,5/29/2020,https://photos.zillowstatic.com/fp/d2537faf680581ca7a38f4d74581217d-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"16 W Encanto Blvd UNIT 609, Phoenix, AZ 85003",285000.0,2.0,2.0,1445.0,5/29/2020,https://photos.zillowstatic.com/fp/2410de844b5f0685ded77b6c3a5410c0-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"8 W Encanto Blvd, Phoenix, AZ 85003",305000.0,3.33,0.0,1687.0,5/28/2020,,33.450759999999995,-112.07836,,,,,,85003
"16 W Encanto Blvd UNIT 8, Phoenix, AZ 85003",305000.0,2.5,2.0,1687.0,5/28/2020,https://photos.zillowstatic.com/p_e/ISzrz1y855bjkh1000000000.jpg,33.450759999999995,-112.07836,,,,,,85003
"114 W Adams St, Phoenix, AZ 85003",220000.0,1.0,1.0,833.0,5/28/2020,https://photos.zillowstatic.com/fp/3e98e6e80f45df2a7e51f0fe35cbdd6a-p_e.jpg,33.450759999999995,-112.07836,,,,,,85003
"21 W Wilshire Dr, Phoenix, AZ 85003",332500.0,1.0,2.0,1115.0,5/26/2020,,33.450759999999995,-112.07836,,,,,,85003
"805 N 4th Ave UNIT 701, Phoenix, AZ 85003",195000.0,1.0,1.0,720.0,5/26/2020,,33.450759999999995,-112.07836,,,,,,85003
"1024 S 3rd Ave, Phoenix, AZ 85003",172000.0,2.0,3.0,1188.0,5/26/2020,,33.450759999999995,-112.07836,,,,,,85003
"424 S 2nd St UNIT 207, Phoenix, AZ 85004",365000.0,1.75,2.0,1710.0,11/17/2020,https://photos.zillowstatic.com/fp/7a74a7e34aa2cab3231dfb097b441e86-p_e.jpg,33.45156,-112.06986,,,,,,85004
"2302 N Central Ave UNIT 204, Phoenix, AZ 85004",262350.0,2.0,2.0,1277.0,11/9/2020,https://photos.zillowstatic.com/fp/41ce883996b9c812d4ad503bf37c6f19-p_e.jpg,33.45156,-112.06986,,,,,,85004
"325 E Coronado Rd UNIT 20, Phoenix, AZ 85004",460000.0,2.5,2.0,1718.0,11/5/2020,https://photos.zillowstatic.com/p_e/ISj3i3bl61jwlq0000000000.jpg,33.45156,-112.06986,,,,,,85004
"140 E Coronado Rd UNIT 25, Phoenix, AZ 85004",290000.0,2.0,2.0,1640.0,11/4/2020,https://photos.zillowstatic.com/fp/406a61fb77b4716842862fe490c78b28-p_e.jpg,33.45156,-112.06986,,,,,,85004
"1130 N 2nd St UNIT 303, Phoenix, AZ 85004",265000.0,1.0,1.0,723.0,10/30/2020,https://photos.zillowstatic.com/p_e/IS7qnhn9vnre1i1000000000.jpg,33.45156,-112.06986,,,,,,85004
"310 S 4th St UNIT 2102, Phoenix, AZ 85004",407000.0,2.5,2.0,1405.0,10/30/2020,https://photos.zillowstatic.com/fp/90f519b4aed7ed0b296dda760d287f3f-p_e.jpg,33.45156,-112.06986,,,,,,85004
"615 E Portland St UNIT 117, Phoenix, AZ 85004",400000.0,3.0,3.0,1995.0,10/30/2020,,33.45156,-112.06986,,,,,,85004
"100 E Fillmore St UNIT 230, Phoenix, AZ 85004",300000.0,1.75,2.0,1055.0,10/26/2020,,33.45156,-112.06986,,,,,,85004
"1009 S 1st St, Phoenix, AZ 85004",189000.0,3.0,3.0,2000.0,10/23/2020,,33.45156,-112.06986,,,,,,85004
"310 S 4th St UNIT 1603, Phoenix, AZ 85004",260000.0,1.5,1.0,1020.0,10/23/2020,,33.45156,-112.06986,,,,,,85004
"1326 N Central Ave UNIT 307, Phoenix, AZ 85004",385000.0,2.0,2.0,1760.0,10/19/2020,,33.45156,-112.06986,,,,,,85004
"2302 N Central Ave UNIT 608, Phoenix, AZ 85004",330000.0,2.0,2.0,1428.0,10/16/2020,,33.45156,-112.06986,,,,,,85004
"310 S 4th St UNIT 1309, Phoenix, AZ 85004",260000.0,1.5,1.0,1149.0,10/12/2020,,33.45156,-112.06986,,,,,,85004
"310 S 4th St UNIT 1504, Phoenix, AZ 85004",250000.0,1.5,1.0,996.0,10/7/2020,,33.45156,-112.06986,,,,,,85004
"1130 N 2nd St #406, Phoenix, AZ 85004",239900.0,1.0,1.0,490.0,10/2/2020,,33.45156,-112.06986,,,,,,85004
"1130 N 2nd St, Phoenix, AZ 85004",239900.0,1.0,1.0,490.0,10/2/2020,,33.45156,-112.06986,,,,,,85004
"78 E Ashland Ave, Phoenix, AZ 85004",624999.0,2.5,3.0,1932.0,9/30/2020,,33.45156,-112.06986,,,,,,85004
"212 E Tonto St, Phoenix, AZ 85004",90000.0,2.5,0.0,0.0,9/26/2020,,33.45156,-112.06986,,,,,,85004
"2323 N Central Ave UNIT 1903, Phoenix, AZ 85004",450000.0,2.0,2.0,1456.0,9/25/2020,,33.45156,-112.06986,,,,,,85004
"127 E Palm Ln #A, Phoenix, AZ 85004",331000.0,2.0,2.0,1915.0,9/24/2020,,33.45156,-112.06986,,,,,,85004
"110 E Coronado Rd UNIT 7, Phoenix, AZ 85004",235000.0,2.0,2.0,1350.0,9/24/2020,,33.45156,-112.06986,,,,,,85004
"114 E Coronado Rd, Phoenix, AZ 85004",235000.0,0.0,0.0,103727.0,9/24/2020,,33.45156,-112.06986,,,,,,85004
"127A E Palm Ln, Phoenix, AZ 85004",335000.0,2.0,2.0,1915.0,9/24/2020,,33.45156,-112.06986,,,,,,85004
"906 N 5th St, Phoenix, AZ 85004",561039.0,1.0,0.0,1309.0,9/23/2020,,33.45156,-112.06986,,,,,,85004
"523 E Roanoke Ave APT B, Phoenix, AZ 85004",150000.0,2.0,0.0,1064.0,9/23/2020,,33.45156,-112.06986,,,,,,85004
"51 E Vernon Ave, Phoenix, AZ 85004",603000.0,2.0,3.0,1635.0,9/22/2020,,33.45156,-112.06986,,,,,,85004
"310 S 4th St UNIT 502, Phoenix, AZ 85004",249950.0,2.0,1.0,913.0,9/17/2020,,33.45156,-112.06986,,,,,,85004
"130 E Alvarado Rd, Phoenix, AZ 85004",530000.0,2.5,3.0,1803.0,9/16/2020,,33.45156,-112.06986,,,,,,85004
"2302 N Central Ave UNIT 311, Phoenix, AZ 85004",260000.0,2.0,2.0,1243.0,9/16/2020,,33.45156,-112.06986,,,,,,85004
"100 E Fillmore St UNIT 226, Phoenix, AZ 85004",260000.0,2.0,2.0,1595.0,9/16/2020,,33.45156,-112.06986,,,,,,85004
"2302 N Central Ave UNIT 615, Phoenix, AZ 85004",347500.0,2.0,2.0,1866.0,9/10/2020,,33.45156,-112.06986,,,,,,85004
"310 S 4th St UNIT 1803, Phoenix, AZ 85004",275000.0,2.0,1.0,1020.0,9/9/2020,,33.45156,-112.06986,,,,,,85004
"310 S 4th St UNIT 1508, Phoenix, AZ 85004",270000.0,1.5,1.0,1076.0,9/9/2020,,33.45156,-112.06986,,,,,,85004
"1120 E 3rd St, Phoenix, AZ 85004",120000.0,1.0,3.0,1081.0,9/3/2020,,33.45156,-112.06986,,,,,,85004
"2323 N Central Ave UNIT 202, Phoenix, AZ 85004",224900.0,2.0,2.0,1398.0,9/1/2020,https://photos.zillowstatic.com/fp/8ff9f948707f6da6f4f7604770d9e3c9-p_e.jpg,33.45156,-112.06986,,,,,,85004
"310 S 4th St UNIT 1408, Phoenix, AZ 85004",266500.0,1.5,1.0,1076.0,9/1/2020,https://photos.zillowstatic.com/fp/2e4f67dc16db6ef1e3e57b67d1191ee0-p_e.jpg,33.45156,-112.06986,,,,,,85004
"310 S 4th St UNIT 1107, Phoenix, AZ 85004",245000.0,2.0,1.0,1074.0,8/28/2020,https://photos.zillowstatic.com/fp/f049df885866ae5243c22e1e999ea5d9-p_e.jpg,33.45156,-112.06986,,,,,,85004
"525 E Willetta St APT 1, Phoenix, AZ 85004",345000.0,2.5,2.0,1333.0,8/25/2020,https://photos.zillowstatic.com/p_e/IS76sftx2jpgle0000000000.jpg,33.45156,-112.06986,,,,,,85004
"525 E Willetta St APT 1, Phoenix, AZ 85004",350000.0,2.0,0.0,1333.0,8/25/2020,,33.45156,-112.06986,,,,,,85004
"615 E Portland St UNIT 182, Phoenix, AZ 85004",300000.0,2.0,2.0,1237.0,8/21/2020,https://photos.zillowstatic.com/fp/71fcdfd0d2aaab2d54db27a1952b94e4-p_e.jpg,33.45156,-112.06986,,,,,,85004
"615 E Portland St UNIT 163, Phoenix, AZ 85004",295000.0,2.0,2.0,1257.0,8/21/2020,,33.45156,-112.06986,,,,,,85004
"310 S 4th St UNIT 1703, Phoenix, AZ 85004",254000.0,1.5,1.0,1020.0,8/17/2020,,33.45156,-112.06986,,,,,,85004
"1326 N Central Ave UNIT 415, Phoenix, AZ 85004",497000.0,2.0,2.0,1702.0,8/17/2020,,33.45156,-112.06986,,,,,,85004
"2323 N Central Ave UNIT 1901, Phoenix, AZ 85004",250000.0,4.0,3.0,3268.0,8/5/2020,,33.45156,-112.06986,,,,,,85004
"2323 N Central Ave #1906/01, Phoenix, AZ 85004",590000.0,4.0,3.0,3268.0,8/5/2020,,33.45156,-112.06986,,,,,,85004
"2323 N Central Ave UNIT 1906, Phoenix, AZ 85004",340000.0,2.0,2.0,1456.0,8/5/2020,,33.45156,-112.06986,,,,,,85004
"529 E Ames Pl, Phoenix, AZ 85004",446000.0,3.5,3.0,1985.0,8/3/2020,,33.45156,-112.06986,,,,,,85004
"325 E Coronado Rd UNIT 15, Phoenix, AZ 85004",440000.0,2.5,2.0,1718.0,8/3/2020,,33.45156,-112.06986,,,,,,85004
"310 S 4th St UNIT 1210, Phoenix, AZ 85004",395000.0,2.5,2.0,1520.0,7/31/2020,,33.45156,-112.06986,,,,,,85004
"310 S 4th St UNIT 1410, Phoenix, AZ 85004",395000.0,2.5,2.0,1520.0,7/31/2020,,33.45156,-112.06986,,,,,,85004
"2302 N Central Ave UNIT 601, Phoenix, AZ 85004",444900.0,2.0,2.0,1866.0,7/31/2020,,33.45156,-112.06986,,,,,,85004
"1326 N Central Ave UNIT 201, Phoenix, AZ 85004",510000.0,2.0,3.0,1900.0,7/24/2020,,33.45156,-112.06986,,,,,,85004
"424 S 2nd St UNIT 204, Phoenix, AZ 85004",300000.0,2.0,1.0,1339.0,7/23/2020,,33.45156,-112.06986,,,,,,85004
"215 E Mckinley St SUITE 206, Phoenix, AZ 85004",275000.0,1.5,1.0,1435.0,7/20/2020,,33.45156,-112.06986,,,,,,85004
"1613 S 5th St, Phoenix, AZ 85004",164500.0,1.0,2.0,1431.0,7/20/2020,,33.45156,-112.06986,,,,,,85004
"310 S 4th St UNIT 710, Phoenix, AZ 85004",241000.0,1.5,1.0,985.0,7/17/2020,,33.45156,-112.06986,,,,,,85004
"35 E Hoover Ave, Phoenix, AZ 85004",580000.0,2.0,3.0,1499.0,7/15/2020,,33.45156,-112.06986,,,,,,85004
"45 E Woodward Dr, Phoenix, AZ 85004",599000.0,2.0,3.0,1433.0,7/13/2020,,33.45156,-112.06986,,,,,,85004
"2302 N Central Ave UNIT 406, Phoenix, AZ 85004",252750.0,2.0,2.0,1235.0,7/10/2020,,33.45156,-112.06986,,,,,,85004
"122 E Alvarado Rd, Phoenix, AZ 85004",775000.0,3.0,3.0,1970.0,7/8/2020,,33.45156,-112.06986,,,,,,85004
"416 E Mohave St, Phoenix, AZ 85004",185500.0,2.0,3.0,1060.0,7/3/2020,,33.45156,-112.06986,,,,,,85004
"221 E Tonto St, Phoenix, AZ 85004",155000.0,2.0,4.0,1152.0,7/1/2020,,33.45156,-112.06986,,,,,,85004
"2323 N Central Ave UNIT 404, Phoenix, AZ 85004",560000.0,2.0,2.0,1812.0,6/30/2020,,33.45156,-112.06986,,,,,,85004
"610 E Roosevelt St UNIT 143, Phoenix, AZ 85004",289000.0,2.0,2.0,1238.0,6/26/2020,,33.45156,-112.06986,,,,,,85004
"742 S 1st St, Phoenix, AZ 85004",130000.0,1.0,3.0,932.0,6/19/2020,,33.45156,-112.06986,,,,,,85004
"1130 N 2nd St #313, Phoenix, AZ 85004",259950.0,1.0,1.0,744.0,6/12/2020,https://photos.zillowstatic.com/p_e/ISnu9apl8wgwso1000000000.jpg,33.45156,-112.06986,,,,,,85004
