index,Zip Code Tabulation Area,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Population 25 and Over,Rate 25 and Over w/ less than 1st grade,Rate 25 and Over w/ Some or Completed Elementary School,Rate 25 and Over w/ Some or Completed Middle School,Rate 25 and Over w/ Some or Completed High School or Equivalent,"Rate 25 and Over w/ Some college, less than 1 year","Rate 25 and Over w/ Some college, 1 or more years",Rate 25 and Over w/ Associate's degree,Rate 25 and Over w/ Bachelor's degree,Rate 25 and Over w/ Master's degree,Rate 25 and Over w/ Professional school degree,Rate 25 and Over w/ Doctorate degree
28235,81321,14758,43.1,43859,23866,0.188372408,10246,0.006051142,0.020495803,0.012883076,0.392348233,0.074663283,0.194514933,0.056021862,0.157036892,0.059047433,0.015323053,0.011614289
28236,81323,4418,46.6,63056,30955,0.076731553,3287,0.009735321,0.020991786,0.009431092,0.28932157,0.077578339,0.146638272,0.065409188,0.255552175,0.082141771,0.031944022,0.011256465
28237,81324,1289,54.4,42361,23168,0.132660978,955,0.006282723,0.003141361,0.006282723,0.493193717,0.062827225,0.189528796,0.060732984,0.082722513,0.080628272,0.014659686,0
28238,81325,192,58.9,44886,31644,0.09375,183,0,0,0,0.513661202,0,0.234972678,0.224043716,0,0.027322404,0,0
28239,81326,2203,41.9,53871,27122,0.076713572,1527,0.01113294,0,0.00589391,0.370661428,0.093647675,0.117878193,0.106745252,0.216764898,0.060903733,0.007858546,0.008513425
28240,81327,401,60.9,36818,23991,0.199501247,356,0,0,0.078651685,0.429775281,0.123595506,0.06741573,0.073033708,0.073033708,0.154494382,0,0
28241,81328,4700,47.1,54798,27645,0.105319149,3438,0.013089005,0.000581734,0.003490401,0.260325771,0.044211751,0.193135544,0.098312973,0.230075625,0.13379872,0.013089005,0.009889471
28243,81331,320,55.6,44886,24439,0.040625,236,0,0,0,0.372881356,0.093220339,0.245762712,0.042372881,0.199152542,0.046610169,0,0
28244,81332,174,48.7,41071,36498,0.189655172,150,0,0.013333333,0,0.146666667,0.04,0.286666667,0.086666667,0.313333333,0.086666667,0.026666667,0
28245,81334,1422,30.3,27391,12703,0.309423347,756,0.006613757,0.026455026,0.018518519,0.718253968,0.066137566,0.082010582,0.007936508,0.044973545,0.018518519,0,0.010582011
28247,81401,22633,44.4,43396,24964,0.193699465,16103,0.015028256,0.019188971,0.009687636,0.381419611,0.072036267,0.197478731,0.071539465,0.154443271,0.061665528,0.010619139,0.006893126
28248,81403,10684,48.4,60411,30549,0.102583302,7733,0.001034527,0.011121169,0.006724428,0.304797621,0.079658606,0.186473555,0.085607138,0.22022501,0.07034786,0.016035174,0.017974913
